Client Name,Client Identifier,Scheme Category/Section Name,Scheme Category/Section Name Identifier,Unique Member Reference,Unique ID,Status of Member,Status of Registration,Gender,Short Post Code of Member,Contract Start Date,Contract End Date,Original Date of Joining,Scheme Policy Joining Date,Registration Status,Lapse Date,Count
Client_034 Ltd,CL-034,Corporate,SC-582,MBR-09250,UID-00009250,Lapsed,Cancelled,M,B20 6EV,2023-11-07,2025-10-30,2019-06-18,2019-11-03,Cancelled,2025-10-30,1
Client_034 Ltd,CL-034,Individual,SC-413,MBR-09462,UID-00009462,Lapsed,Cancelled,M,W10 4HP,2015-01-30,2018-06-12,2012-05-03,2012-11-20,Cancelled,2018-06-12,1
Client_034 Ltd,CL-034,SME,SC-889,MBR-06364,UID-00006364,Lapsed,Cancelled,M,SW5 8OY,2022-12-31,2025-10-30,2021-09-15,2022-03-03,Cancelled,2025-10-30,1
Client_035 Ltd,CL-035,Individual,SC-537,MBR-02612,UID-00002612,Lapsed,Cancelled,M,SE9 5JT,2015-01-24,2024-12-22,2010-07-19,2012-02-16,Cancelled,2024-12-22,1
Client_036 Ltd,CL-036,Family,SC-570,MBR-02299,UID-00002299,Lapsed,Cancelled,M,BT4 6YQ,2016-01-09,2024-05-21,2005-11-11,2014-05-07,Cancelled,2024-05-21,1
Client_037 Ltd,CL-037,Corporate,SC-959,MBR-05893,UID-00005893,Lapsed,Cancelled,M,BT1P 7YL,2023-07-10,2025-10-30,2009-12-23,2017-11-17,Cancelled,2025-10-30,1
Client_037 Ltd,CL-037,Individual,SC-938,MBR-09554,UID-00009554,Lapsed,Cancelled,F,G2 1VC,2017-02-10,2020-08-10,2005-03-11,2007-06-19,Cancelled,2020-08-10,1
Client_039 Ltd,CL-039,Corporate,SC-597,MBR-08421,UID-00008421,Lapsed,Cancelled,F,M4 1YL,2018-08-08,2020-08-22,2004-05-01,2012-10-29,Cancelled,2020-08-22,1
Client_040 Ltd,CL-040,Family,SC-204,MBR-02883,UID-00002883,Lapsed,Cancelled,M,EH11 3YN,2019-12-12,2020-12-24,2011-04-29,2012-03-11,Cancelled,2020-12-24,1
Client_040 Ltd,CL-040,Family,SC-266,MBR-08051,UID-00008051,Lapsed,Cancelled,M,CF4 8AP,2015-01-04,2017-12-04,2004-01-09,2007-05-20,Cancelled,2017-12-04,1
Client_040 Ltd,CL-040,Family,SC-927,MBR-09998,UID-00009998,Lapsed,Cancelled,F,SE1Y 3FP,2024-11-06,2025-10-30,2013-07-19,2023-08-01,Cancelled,2025-10-30,1
Client_042 Ltd,CL-042,Corporate,SC-232,MBR-09248,UID-00009248,Lapsed,Cancelled,M,SW4 9NW,2022-09-23,2025-10-30,2020-12-30,2021-04-26,Cancelled,2025-10-30,1
Client_042 Ltd,CL-042,Corporate,SC-861,MBR-00924,UID-00000924,Lapsed,Cancelled,F,SE13 4NH,2016-02-09,2018-06-18,2006-02-09,2013-06-02,Cancelled,2018-06-18,1
Client_043 Ltd,CL-043,Corporate,SC-163,MBR-08793,UID-00008793,Lapsed,Cancelled,M,EC8 5BQ,2020-02-26,2025-10-30,2005-10-10,2010-04-17,Cancelled,2025-10-30,1
Client_043 Ltd,CL-043,Corporate,SC-412,MBR-08280,UID-00008280,Lapsed,Cancelled,M,E8 6LQ,2018-04-15,2025-01-18,2012-03-09,2017-04-15,Cancelled,2025-01-18,1
Client_044 Ltd,CL-044,SME,SC-747,MBR-07494,UID-00007494,Lapsed,Cancelled,F,B9 8PD,2018-01-29,2024-12-08,2007-12-17,2016-07-02,Cancelled,2024-12-08,1
Client_045 Ltd,CL-045,Family,SC-872,MBR-02088,UID-00002088,Lapsed,Cancelled,F,N1 8YV,2016-09-26,2025-02-04,2015-01-06,2015-11-26,Cancelled,2025-02-04,1
Client_046 Ltd,CL-046,Individual,SC-413,MBR-03736,UID-00003736,Lapsed,Cancelled,M,WC10F 3LE,2018-09-12,2025-10-30,2015-02-20,2017-11-21,Cancelled,2025-10-30,1
Client_046 Ltd,CL-046,SME,SC-602,MBR-01708,UID-00001708,Lapsed,Cancelled,M,G3 2LC,2022-10-11,2025-10-30,2010-08-02,2021-03-16,Cancelled,2025-10-30,1
Client_047 Ltd,CL-047,Family,SC-157,MBR-08584,UID-00008584,Lapsed,Cancelled,M,NW18 7GI,2022-06-23,2025-10-30,2008-10-26,2013-06-03,Cancelled,2025-10-30,1
Client_047 Ltd,CL-047,Family,SC-707,MBR-09874,UID-00009874,Lapsed,Cancelled,M,N6V 3KY,2016-05-02,2019-06-14,2008-07-02,2009-06-30,Cancelled,2019-06-14,1
Client_047 Ltd,CL-047,SME,SC-135,MBR-05368,UID-00005368,Lapsed,Cancelled,M,SE1O 2BQ,2024-09-28,2025-10-30,2019-02-04,2022-07-07,Cancelled,2025-10-30,1
Client_048 Ltd,CL-048,Corporate,SC-471,MBR-00501,UID-00000501,Lapsed,Cancelled,F,N15 4UX,2020-03-27,2025-10-30,2009-10-21,2016-12-02,Cancelled,2025-10-30,1
Client_049 Ltd,CL-049,Family,SC-798,MBR-03215,UID-00003215,Lapsed,Cancelled,M,BT6 4SZ,2017-06-02,2022-11-06,2014-02-07,2016-08-14,Cancelled,2022-11-06,1
Client_050 Ltd,CL-050,Corporate,SC-881,MBR-01723,UID-00001723,Lapsed,Cancelled,M,WC2 2WW,2024-08-24,2025-10-30,2013-01-01,2013-05-04,Cancelled,2025-10-30,1
Client_051 Ltd,CL-051,Corporate,SC-995,MBR-07288,UID-00007288,Lapsed,Cancelled,M,W17P 7IR,2021-02-07,2024-12-13,2019-01-13,2019-08-03,Cancelled,2024-12-13,1
Client_052 Ltd,CL-052,Family,SC-315,MBR-01004,UID-00001004,Lapsed,Cancelled,F,BS4 2ZJ,2018-12-06,2020-07-19,2016-03-20,2018-02-27,Cancelled,2020-07-19,1
Client_052 Ltd,CL-052,Family,SC-612,MBR-01245,UID-00001245,Lapsed,Cancelled,F,BS10 6ZV,2019-08-27,2021-09-06,2015-11-27,2016-12-28,Cancelled,2021-09-06,1
Client_052 Ltd,CL-052,Family,SC-760,MBR-05917,UID-00005917,Lapsed,Cancelled,F,EC20 8MD,2021-10-22,2025-01-13,2008-09-11,2009-03-12,Cancelled,2025-01-13,1
Client_052 Ltd,CL-052,Family,SC-848,MBR-09985,UID-00009985,Lapsed,Cancelled,F,W11 1NN,2021-04-02,2024-11-20,2014-06-22,2018-08-12,Cancelled,2024-11-20,1
Client_054 Ltd,CL-054,Corporate,SC-225,MBR-00882,UID-00000882,Lapsed,Cancelled,F,L6 8LK,2015-09-29,2021-09-06,2011-06-13,2014-07-14,Cancelled,2021-09-06,1
Client_054 Ltd,CL-054,Corporate,SC-528,MBR-00661,UID-00000661,Lapsed,Cancelled,M,SW5 3KL,2016-11-21,2024-07-19,2007-06-28,2016-03-15,Cancelled,2024-07-19,1
Client_054 Ltd,CL-054,Corporate,SC-745,MBR-06262,UID-00006262,Lapsed,Cancelled,F,SW10 1CA,2016-09-06,2024-11-02,2004-09-07,2015-10-22,Cancelled,2024-11-02,1
Client_055 Ltd,CL-055,SME,SC-826,MBR-09781,UID-00009781,Lapsed,Cancelled,M,M12 1TB,2024-08-10,2025-10-30,2014-07-29,2021-10-24,Cancelled,2025-10-30,1
Client_056 Ltd,CL-056,Corporate,SC-540,MBR-08484,UID-00008484,Lapsed,Cancelled,F,G2 7UP,2023-06-23,2025-10-30,2021-11-01,2022-04-14,Cancelled,2025-10-30,1
Client_056 Ltd,CL-056,Corporate,SC-755,MBR-03609,UID-00003609,Lapsed,Cancelled,F,EH6 1AD,2024-06-17,2025-10-30,2016-12-09,2023-03-31,Cancelled,2025-10-30,1
Client_056 Ltd,CL-056,SME,SC-419,MBR-01048,UID-00001048,Lapsed,Cancelled,M,BS15 4XV,2024-04-01,2025-10-30,2020-04-25,2024-01-12,Cancelled,2025-10-30,1
Client_057 Ltd,CL-057,Corporate,SC-818,MBR-00606,UID-00000606,Lapsed,Cancelled,M,B15 6IX,2015-06-07,2025-05-07,2011-02-21,2011-08-27,Cancelled,2025-05-07,1
Client_057 Ltd,CL-057,Family,SC-636,MBR-07785,UID-00007785,Lapsed,Cancelled,F,SE4 4CU,2017-04-09,2025-10-30,2003-02-01,2007-12-26,Cancelled,2025-10-30,1
Client_058 Ltd,CL-058,Corporate,SC-195,MBR-00259,UID-00000259,Lapsed,Cancelled,F,NW14 4OT,2023-07-12,2025-10-30,2016-02-21,2023-05-29,Cancelled,2025-10-30,1
Client_058 Ltd,CL-058,Family,SC-213,MBR-08947,UID-00008947,Lapsed,Cancelled,F,B10M 8LG,2017-12-27,2019-10-22,2005-04-07,2005-09-10,Cancelled,2019-10-22,1
Client_058 Ltd,CL-058,Individual,SC-355,MBR-02387,UID-00002387,Lapsed,Cancelled,M,B16 5YV,2022-09-13,2025-10-30,2019-07-28,2020-11-11,Cancelled,2025-10-30,1
Client_059 Ltd,CL-059,Corporate,SC-148,MBR-05886,UID-00005886,Lapsed,Cancelled,M,E4 3PT,2016-05-26,2020-09-10,2010-04-24,2011-02-04,Cancelled,2020-09-10,1
Client_059 Ltd,CL-059,Corporate,SC-329,MBR-08787,UID-00008787,Lapsed,Cancelled,M,N19W 5EY,2017-09-23,2019-05-15,2012-08-31,2013-04-27,Cancelled,2019-05-15,1
Client_059 Ltd,CL-059,Family,SC-928,MBR-07645,UID-00007645,Lapsed,Cancelled,M,EC14 4CV,2023-03-04,2025-10-30,2017-02-26,2022-08-19,Cancelled,2025-10-30,1
Client_059 Ltd,CL-059,Individual,SC-161,MBR-03646,UID-00003646,Lapsed,Cancelled,M,EH15 3SZ,2018-01-13,2021-01-07,2004-07-09,2015-01-16,Cancelled,2021-01-07,1
Client_060 Ltd,CL-060,Corporate,SC-703,MBR-00353,UID-00000353,Lapsed,Cancelled,F,NW3 4RX,2024-12-27,2025-10-30,2016-11-22,2017-09-15,Cancelled,2025-10-30,1
Client_061 Ltd,CL-061,Corporate,SC-547,MBR-00855,UID-00000855,Lapsed,Cancelled,M,B11B 9QD,2023-03-16,2025-05-07,2019-10-04,2020-11-25,Cancelled,2025-05-07,1
Client_061 Ltd,CL-061,Corporate,SC-859,MBR-05631,UID-00005631,Lapsed,Cancelled,F,BS7P 8AA,2019-03-07,2025-08-13,2007-12-23,2009-02-05,Cancelled,2025-08-13,1
Client_063 Ltd,CL-063,Individual,SC-531,MBR-00582,UID-00000582,Lapsed,Cancelled,F,N2H 4NW,2019-10-27,2020-12-07,2014-04-13,2018-10-19,Cancelled,2020-12-07,1
Client_063 Ltd,CL-063,SME,SC-473,MBR-05543,UID-00005543,Lapsed,Cancelled,F,EH3 3JJ,2016-04-12,2023-11-07,2005-11-07,2011-05-06,Cancelled,2023-11-07,1
Client_064 Ltd,CL-064,Family,SC-343,MBR-00767,UID-00000767,Lapsed,Cancelled,F,E20S 1ZR,2019-09-08,2025-10-30,2008-03-21,2010-06-15,Cancelled,2025-10-30,1
Client_065 Ltd,CL-065,Corporate,SC-504,MBR-01118,UID-00001118,Lapsed,Cancelled,F,SE20 1QV,2022-12-14,2024-07-03,2011-06-30,2016-01-14,Cancelled,2024-07-03,1
Client_065 Ltd,CL-065,SME,SC-652,MBR-05897,UID-00005897,Lapsed,Cancelled,F,N16 5YO,2019-02-16,2025-10-30,2016-04-09,2017-05-21,Cancelled,2025-10-30,1
Client_066 Ltd,CL-066,Corporate,SC-783,MBR-08315,UID-00008315,Lapsed,Cancelled,M,B17 4BB,2016-08-17,2022-01-13,2006-09-04,2009-05-26,Cancelled,2022-01-13,1
Client_067 Ltd,CL-067,Corporate,SC-930,MBR-08462,UID-00008462,Lapsed,Cancelled,F,W9 1ZT,2022-11-27,2025-10-30,2014-11-22,2018-01-18,Cancelled,2025-10-30,1
Client_067 Ltd,CL-067,Family,SC-394,MBR-09292,UID-00009292,Lapsed,Cancelled,F,WC2 3ID,2019-05-24,2023-07-12,2010-04-28,2014-04-06,Cancelled,2023-07-12,1
Client_068 Ltd,CL-068,Corporate,SC-532,MBR-02016,UID-00002016,Lapsed,Cancelled,M,BT10 2ON,2020-12-01,2025-10-30,2015-01-15,2020-04-08,Cancelled,2025-10-30,1
Client_068 Ltd,CL-068,SME,SC-727,MBR-04719,UID-00004719,Lapsed,Cancelled,M,BT6N 2HH,2016-03-29,2025-08-23,2010-08-17,2013-12-20,Cancelled,2025-08-23,1
Client_069 Ltd,CL-069,Corporate,SC-666,MBR-01348,UID-00001348,Lapsed,Cancelled,M,L13 3QR,2023-09-27,2025-10-30,2009-03-27,2023-02-05,Cancelled,2025-10-30,1
Client_069 Ltd,CL-069,Family,SC-882,MBR-04299,UID-00004299,Lapsed,Cancelled,M,BT1 3FC,2023-12-28,2025-10-30,2015-08-08,2019-10-04,Cancelled,2025-10-30,1
Client_070 Ltd,CL-070,Corporate,SC-532,MBR-03290,UID-00003290,Lapsed,Cancelled,M,M3 1CV,2021-07-31,2024-07-02,2011-07-13,2013-12-31,Cancelled,2024-07-02,1
Client_070 Ltd,CL-070,Family,SC-639,MBR-09657,UID-00009657,Lapsed,Cancelled,F,SE20U 4JP,2015-08-07,2020-10-25,2001-08-11,2011-08-06,Cancelled,2020-10-25,1
Client_070 Ltd,CL-070,Family,SC-990,MBR-00522,UID-00000522,Lapsed,Cancelled,M,M4 2HX,2017-12-08,2022-05-09,2016-08-26,2016-12-13,Cancelled,2022-05-09,1
